1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,300
17,300
18,300
19,300
20,300
21,300
22,300
23,300
24,300
25,300
26,300
27,300
28,300
29,300
30,300
31,600
32,600
33,600
34,600
35,600
36,400
37,400
38,400
39,400
40,400
41,400
42,400
43,400
44,400
45,400
46,700
47,700
48,700
49,700
50,700
51,800
52,800
53,800
54,800
55,800
56,1000
57,1000
58,1000
59,1000
60,1000
61,1000
62,1000
63,1000
64,1000
65,1000
66,900
67,900
68,900
69,900
70,900
71,900
72,900
73,900
74,900
75,900
76,700
77,700
78,700
79,700
80,700
81,500
82,500
83,500
84,500
85,500
86,500
87,500
88,500
89,500
90,500
91,300
92,300
93,300
94,300
95,300
96,300
97,300
98,300
99,300
100,300
101,200
102,200
103,200
104,200
105,200
106,200
107,200
108,200
109,200
110,200
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
